Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
BROWNS INVESTMENTS PLC,BIL.N0000,4645339,560,7.4,7.5,7.5,7.3,7.3,-0.1,-1.35
BUKIT DARAH PLC,BUKI.N0000,1418,38,910,949,963,945,947.5,37.5,4.12
C I C HOLDINGS PLC,CIC.N0000,522128,255,138,139,142,139,140,2,1.45
C I C HOLDINGS PLC,CIC.X0000,723213,300,108,108.25,111.5,108.25,109,1,0.93
C M HOLDINGS PLC,COLO.N0000,889,36,400,407.75,410,395,407.75,7.75,1.94
C T HOLDINGS PLC,CTHR.N0000,150180,23,702,702,714,691,705.75,3.75,0.53
C T LAND DEVELOPMENT PLC,CTLD.N0000,10062,17,33.6,32.7,32.9,32.3,32.8,-0.8,-2.38
C. W. MACKIE PLC,CWM.N0000,16760,53,124,124,125.25,123,125,1,0.81
CABLE SOLUTIONS PLC,CSLK.N0000,460250,113,15.9,16,16,15.6,15.8,-0.1,-0.63
CAL FIVE YEAR CLOSED END FUND (“Units”),CALC.U0000,36,3,16.3,16.2,16.2,16.2,16.3,0,0
CAPITAL ALLIANCE HOLDINGS LIMITED,CALH.N0000,4888319,599,18.9,19.4,20,18.6,18.8,-0.1,-0.53
CAPITAL ALLIANCE PLC,CALT.N0000,2643965,1889,63.5,63.9,64,60,60.2,-3.3,-5.2
CARGILLS (CEYLON) PLC,CARG.N0000,267,13,720,722.75,722.75,718,718,-2,-0.28
CARGILLS BANK PLC,CBNK.N0000,1045199,205,9.4,9.5,9.5,9.2,9.3,-0.1,-1.06
CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,339243,416,155.5,155.5,194.25,155,184,28.5,18.33
CARSON CUMBERBATCH PLC,CARS.N0000,5930,43,810.75,824.75,845,800,830,19.25,2.37
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,117296,167,287,287,288,284.75,286.25,-0.75,-0.26
CENTRAL INDUSTRIES PLC,CIND.N0000,134611,89,178.25,176.5,181.75,176.25,180,1.75,0.98
CEYLINCO HOLDINGS PLC,CINS.N0000,50,1,3055.25,3050,3050,3050,3055.25,0,0
CEYLINCO HOLDINGS PLC,CINS.X0000,25497,40,1700,1700,1780,1700,1720,20,1.18
CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000,15,1,2697.75,2700,2700,2700,2697.75,0,0
CEYLON COLD STORES PLC,CCS.N0000,92823,141,110.25,112,113,109.75,110,-0.25,-0.23
CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,7507,51,320.25,322,327.5,318,320,-0.25,-0.08
CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,56262,126,288.5,289,295,285,289.25,0.75,0.26
CEYLON HOSPITALS PLC,CHL.N0000,4118,14,177,176.5,183.5,176.5,180,3,1.69
CEYLON HOSPITALS PLC,CHL.X0000,3120,9,149.25,151,151.5,151,151,1.75,1.17
CEYLON HOTELS CORPORATION PLC,CHOT.N0000,485390,253,38.9,39,39,36.8,37,-1.9,-4.88
CEYLON INVESTMENT PLC,CINV.N0000,518284,342,132.5,133,138.75,132,133.5,1,0.75
CEYLON LAND & EQUITY PLC,KZOO.N0000,1437780,79,11,11.2,11.4,10.8,10.8,-0.2,-1.82
CEYLON TEA BROKERS PLC,CTBL.N0000,2972047,401,8.3,8.3,9.3,8.1,9,0.7,8.43
CEYLON TOBACCO COMPANY PLC,CTC.N0000,2233,65,1641.75,1647.5,1660,1647.5,1653.5,11.75,0.72
CHEMANEX PLC,CHMX.N0000,23876,47,170.5,170.75,172,168,171.25,0.75,0.44
